Quest No.,Task No.,Task Description,Source Experience,Choice Rank 1 (Most Acceptable),Choice Rank 2,Choice Rank 3,Choice Rank 4 (Least Acceptable),Privilege Marker (If Applicable)
,,,,,,,,
"Quest 1: Endure a day of necessary but draining bureaucracy in government offices, where your identity is reduced to flawed forms and subject to the uninformed judgment of officials.",,,,,,,,
,1,"You pull on the male conductor's uniform. It fits poorly, erasing your shape. It makes you look ""decent"" and masculine.","Wear the uniform same way every other conductor friend of yours wears.","Carry a small jasmine garland (gazra/malipu) in your pocket instead of directly decorating yourself with it.","Alter your shirt to fit in a little more feminine way, claiming ""it shrank in the wash"" if asked.", N/A
,2,"Before the shift, drivers and conductors gather at a chai stall. They casually tease you about the way you walk.","Laugh it off since it was meant as a joke only.","Drink your chai in silence, ignoring the conversation until the bus is ready.","Leave the group to sit alone on the bus, isolating yourself further.","Jokingly embrace it and comment back ""Hey, I walk with grace"".",
,3,"In between stops, you are tired and lean against the rail near the ladies' seats. A female passenger says, ""This is for ladies, why are you standing so close? Go to the mens side!""","Move instantly to the crowded mens area to avoid making any women uncomfortable.","Defend yourself by saying ""Madam, I am just doing my job, the bus is full.""","Ignore her and stand your ground but turn your back to her","Immediate Pen Attack (CHA): Grab the pen and firmly circle 'O', demanding immediate recognition.",N/A
,4,"During peak hour, the bus is really cramped. You push past people to sit at your assigned seat feeling uncomfortable with how aware you are of your body.","Maneuver your heavy ticket bag to cover yourself like a shield.","Say ""Move inside! Don't crowd the door!"" hoping to make some space for yourself.","Try to endure it until the next stop, but accidentally end up hitting a passenger.","Retreat and Restart (DEX): Pull the application and commit to returning another day when a different official is present.",
,5,"You were late for lunch break and overhear other conductors share food and whispering about how weird you talk and act.","Finish food quickly and return to the safety of the empty bus.","Ignore their comments pretending you don't hear so you don't have to eat alone.","Confront them and ask, ""Do you have a problem with it? How is it affecting you?"".","Staff Change (CHA): Politely state that the official's lack of training is concerning and request to be served by someone else.",
,6,"You complain to your friend about your coworkers . He sighs, ""Look, you are a man. Be tough. If you act soft, people will take advantage. Adjust a little.""","Agree silently, knowing nothing you do will matter.","Try to talk to your deputy manager to change your route to a less crowded one. (Locked path. this path, when hovered on will show the locked path overlays and will not be selectable)","Fake sickness to get a few days off immediately.","The Stare Down (CON): Deliberately look at the reflection, forcing yourself to process the image and move on.",N/A
,7,"After years of this cycle, the emotional and physical toll becomes unbearable. You must decide whether to quit. You have no savings, no degree. Just the knowledge that you cannot step on that bus again.","Resign citing ""severe back pain"" to leave on good terms.","Slowly, don't show up. Just go on your own new path now.","""I cannot work in this environment."" (Manager will likely mock you).","Ask for a transfer you to a less crowded, safer route/time slot or not so public role which you know they won't give.",
,8,"With no higher education, the job search is limited. The few positions available require uncomfortable binary uniforms.","Take the job offered, accepting the compromise for stability.","Try to negotiate a gender neutral uniform or dress code exception.","Refuse all jobs requiring a uniform, narrowing options to almost zero.","Keep looking for a better opportunity.",N/A
,9,"You meet some other trans women who share your loss and experiences. Joining your new friend on the street, you realise that everyone is clapping and exaggerating to get people to recognise them as trans and give them money. This feels a little odd and forced to you.","Clap quietly, hoping the saree does the work.","Mimic the others perfectly, adopting the loud clap and blessing gestures for survival.",,N/A, N/A
,,,,,,,,
"Quest 2: Survive the professional and financial collapse caused by workplace discrimination, forcing brutal choices between dignity, safety, and economic subsistence.",,,,,,,,
,1,The Corporate Binary: The mandatory male/female uniform memo arrives. Your preferred presentation clashes with the gender of the assigned uniform.,Fired for preferred dressing,"Wear Assigned Uniform (WIS): Wear the assigned uniform, sacrificing C/I for job security.","Request Neutral Wear (CHA): Politely request a neutral uniform (e.g., plain trousers and shirt).",Modify Uniform (INT): Subtly tailor the assigned uniform for your gender (Cost/Skill check).,Wear Preferred Dress (CHA): Wear your preferred dress instead of the uniform (High risk of termination).,Rank 3 (Modify Uniform)
,2,"The Manager's Glare: Your manager calls you in, focusing only on your appearance and the ""distraction"" it's causing, not your performance metrics.",Fired for preferred dressing,Apologize/Commit to Conformity (CHA): Promise to strictly adhere to the dress code immediately.,Cite Company Policy (INT): Calmly cite the company's anti-discrimination policy.,Defend Identity (CHA): Firmly state that your appearance does not affect your work.,Record the Meeting (DEX): Surreptitiously record the conversation for future evidence.,Rank 4 (Record the Meeting)
,3,"The Water Cooler Whisper: You overhear colleagues making jokes about your clothing and using the wrong name/pronouns, leading to severe social isolation.",Misgendering/Staring,Maintain Professional Distance (WIS): Completely ignore the group and focus on work.,Eat Lunch Alone (DEX): Skip the common area entirely to avoid interaction.,Report to HR (INT): Document and submit a formal complaint to HR.,Direct Confrontation (CHA): Walk up and demand they stop the inappropriate talk.,N/A
,4,"The Review Bias: Your performance review mentions ""issues with fitting into the team culture"" and ""professional presentation,"" despite good work.",Fired for preferred dressing,Sign and Accept (WIS): Sign the form to avoid conflict.,Write a Rebuttal (INT): Add a written note contesting the subjective feedback.,Refuse to Sign (CHA): Politely refuse to sign until the footnote is removed.,Look for a New Job (DEX): Immediately start applying to other companies.,Rank 4 (Look for a New Job)
,5,"The Final Warning: The manager delivers a thinly veiled threat: ""Change your look, or we'll be forced to let you go.""",Fired for preferred dressing,Conform Temporarily (WIS): Agree to conform for two weeks while searching for another job.,Resign Immediately (DEX): Quit to save face and seek immediate unemployment benefits.,Demand a Formal Explanation (INT): Force them to put the discrimination reason in writing.,Call a Lawyer (CHA): State you are immediately contacting legal counsel.,"Ranks 2 & 4 (Resign Immediately, Call a Lawyer)"
,6,"The Firing: You are fired. The reason cited is ""restructuring."" You know it's discrimination.",Fired from job,Accept Severance (WIS): Take the severance pay (if offered) to ensure a short-term buffer.,Walk Away (DEX): Leave the office immediately and process the trauma privately.,Refuse to Leave (CHA): State you won't leave until the termination reason is corrected.,Initiate Legal Action (INT): File an immediate legal complaint with evidence.,"Ranks 1 & 4 (Accept Severance, Initiate Legal Action)"
,7,"The Empty Pockets: Weeks later, savings are almost gone. You face a choice between survival through informal work or deeper precarity.",Bus conductor harassment/begging,"Sell Valuables (WIS): Sell cherished personal items (C/I loss, financial gain).",Borrow from Family (CHA): Call a distant family member for a high-interest loan.,"Seek Street Work (DEX): Commit to low-wage, informal street work for immediate cash.",Apply to NGOs (INT): Spend time applying for non-profit/community-based jobs (long wait).,"Ranks 2 & 4 (Borrow from Family, Apply to NGOs)"
,8,"The Performance Shift: To maximize street income, you consider adopting the performative, exaggerated mannerisms associated with trans people who beg.",Stereotype for survival (clapping/singing),"Authentic Presentation (CHA): Beg quietly, presenting yourself authentically (Lower immediate income).",Hide Identity (WIS): Wear clothes and hide makeup to appear cisgender while begging.,Seek a Group (INT): Spend the day searching for other trans people who beg to join their network.,"The Survival Act (DEX): Adopt the stereotypical, performative acts (Clapping/Singing).",N/A
,9,"Finding the Peer: While working the street, you encounter another trans person who offers a potential bond and support.",Bus conductor found friend,"Ignore and Work (WIS): Focus purely on the task of earning money, ignoring the social opportunity.",Keep Distance (DEX): Maintain professional distance to avoid competition or conflict.,Ask for Guidance (INT): Politely ask for advice on the best/safest spots to work.,Share Resources (CHA): Offer to share your food or water immediately to build trust.,N/A
,10,"The Stare of Pity: A well-dressed cis person stops, staring with obvious pity, then drops a few coins into your hand without making eye contact.",Stared at/Emotional Weight,"Silent Gratitude (WIS): Quietly nod and accept the money, prioritizing the financial gain.","Smile and Wave (DEX): Give them a wide, cheerful smile, disrupting their expectation of tragedy.","Question of Intention (INT): Ask them, ""What exactly are you pitying?"" forcing them to articulate their discomfort.","Retort of Dignity (CHA): Look them in the eye and say, ""I am working, not a spectacle,"" refusing the money.",N/A
,11,Harassment Risk: A group of young men loudly mocks your clothing and presentation from a passing vehicle. Your new friend is next to you.,Bus conductor harassment,Immediate Retreat (DEX): Both you and your friend quickly move into a side alley until they pass.,"Ignore, Focus on Work (CON): Continue your work, using sheer force of will to ignore the danger.",Seek Nearby Authority (INT): Quickly flag down a nearby police officer or shop owner.,Shared Confrontation (CHA): Stand shoulder-to-shoulder with your friend and shout back a defiant response.,N/A
,12,The Next Step: You now have a small support network and a few days' wages. You must decide on a long-term plan.,Bus conductor found friend/future planning,"Formalize Begging Route (WIS): Accept the current situation and focus on establishing a safer, more profitable street route.",Seek Legal Aid (CHA): Use community connections to find pro-bono legal counsel to fight the firing.,Enroll in Skill Training (INT): Use the money to register for a local skill training program.,Move Cities (DEX): Pool resources with your friend and travel to a more accepting city like Mumbai.,"Ranks 2, 3, & 4 (Seek Legal Aid, Enroll in Skill Training, Move Cities)"
,,,,,,,,
"Quest 3:Navigate a seemingly relaxed birthday gathering where every social interaction risks painful misrecognition, forcing you to prioritize either personal comfort or social harmony.",,,,,,,,
,1,"The Unwanted Glimpse: The cab window reveals a reflection—a sudden, sickening reminder of the physical traits you constantly try to forget or hide.",Body Dysphoria,Mental Wall (WIS): Focus mind away from the image.,Breathe and Bear It (WIS): Acknowledge and endure the feeling.,Digital Dive (INT): Plunge immediately into phone for distraction.,The Quick Fix (CHA): Smooth clothing aggressively to visually correct the 'fault'.,Rank 3 (Digital Dive)
,2,"The Betrayal of Sound: A friend introduces you, but the wrong pronoun slices through the air—a subtle, painful failure of recognition.",Misgendered by friend,"Silent Capitulation (WIS): Swallow the hurt, let the misgendering stand.",The Delayed Pull-Aside (DEX): Gently pull friend aside later for a low-volume reminder.,Self-Correction Affirmation (CHA): Introduce yourself with correct pronouns loudly afterward.,"Immediate Retort (CHA): Cut friend off mid-sentence, correcting them sharply.",N/A
,3,"The Weight of Observation: You feel the invisible weight of too many lingering eyes studying your outfit, mannerisms, and face.",Stared at on the road,"Head Down, Shoulders In (DEX): Shrink your presence, focusing on the floor.","The Prop of Normalcy (DEX): Raise your phone, pretending to receive a vital text.","Proximity Shield (CHA): Grab a friend's arm, initiating a loud, distracting conversation.",The Dominant Gaze (CHA/Intimidation): Lock eyes with the starer until they look away.,Rank 2 (Prop of Normalcy)
,4,"The Repetitive Sting: Your friend, distracted, uses the incorrect pronoun again. The failure feels like careless choice, reigniting the pain.",Misgendered by friend,"Emotional Retreat (WIS): Force a strained nod, signal non-verbally that it's okay.","Silent Judgment (WIS/Intimidation): Give a long, silent look of disappointment.","The Gentle Poke (CHA): Lean in and murmur, ""Hey, remember the correct pronoun?""",Emergency Exit (DEX): Claim an urgent need and abruptly leave the interaction.,N/A
,5,"The Inevitable Choice: Physical discomfort demands a break, but the host's gendered bathrooms present a high-stakes, obstacle course.",Restroom Gambit,The Internal Holdout (CON): Commit to waiting until the party ends.,"The Cis Delegation (CHA): Ask the host directly, ""Which bathroom would be best for me?""","The Non-Gendered Escape (DEX): Aim immediately for the separate, single-stall powder room.","The Confident Entry (CHA): Choose the room aligning with your gender, stepping in firmly.",Rank 3 (Non-Gendered Escape)
,6,"The Question of Permission: A new acquaintance asks a personal, probing question about your medical/transition history—a clear overstep of boundaries.",Keep coming out/embarrassing,"The Simple Avoidance (WIS): Give a vague, non-committal, cis-palatable answer.",The Witty Smoke Screen (CHA): Deliver a sharp joke to shift focus and make the group laugh.,"The Brick Wall (CHA): Lock eyes and state, in a low, firm voice, ""That is private information.""","The Public Lecture (INT): Launch into a concise, articulate explanation of transition diversity.",Rank 4 (Public Lecture)
,7,"The Cage of Expectation: A relative projects a narrow, stereotypical image onto you, suggesting your authentic self isn't ""trans enough.""",Fitting a stereotype,"The Exaggerated Role (CHA): Force yourself to adopt a louder, more animated personality closer to their expectation.","Quiet Defiance (WIS): Smile thinly, nod, and immediately steer the conversation to a dull topic.","The Diversity Thesis (INT): Calmly explain that trans identities are a spectrum, not media tropes.","The Reversal (CHA): Tilt your head and ask, ""Why does it matter what I look like for you to believe me?""",Rank 3 (Diversity Thesis)
,8,"The Weight of Labor: The exhaustion of repeated corrections culminates in a piercing stab of self-doubt: are you being ""too much?""",Keep coming out/embarrassing,"Internal Rally (WIS): Mentally repeat a mantra: ""My identity is valid."" (Comfort Check DC 10).","Overcompensation Loop (CHA): Resolve to be overly warm and polite to ""make up"" for the corrections.","Physical Retreat (DEX): Excuse yourself and retreat to a quiet, dimly lit area for five minutes.","Textual Lifeline (CHA): Immediately text a trusted queer friend for rapid, affirming reply.",Rank 4 (Textual Lifeline)
,9,"The Medical Boundary Breach: A close friend casually asks about invasive, deeply personal medical plans.",Assuming medical transition is needed,"The Ignored Query (CHA): Pretend they asked about the weather, immediately asking them a question about their travels.",The Personal Explanation (INT): Briefly explain that transition is personal and not all seek surgery.,"The Firm Line (INT): State clearly, ""My medical history is private. Let's talk about [safe topic].""",The Retaliatory Inquiry (CHA/Intimidation): Loudly ask them a personal question about their medical history.,N/A
,10,"The Threat of the Alley: Walking alone, a group of idling men fall silent and turn their full, assessing attention on you. Whispers and low laughter follow.",Stared at on the road,"Swift Acceleration (DEX): Tighten grip on your bag and rapidly increase pace, eyes fixed ahead.",Sanctuary Dive (DEX): Quickly dart into the nearest open shop to wait out the confrontation.,The Audible Connection (CHA): Pull out your phone and loudly begin a conversation with a fictional friend.,"The Unflinching Stride (CON): Maintain normal pace, refusing to acknowledge the intimidation.","Ranks 2 & 3 (Sanctuary Dive, Audible Connection)"
,11,"The Casual Erasure: The auto driver uses the wrong gendered term while confirming the drop-off, a jarring moment of misrecognition from a stranger.",Misgendered by a stranger,"The Silent Acceptance (DEX): Simply nod, pay the fare, and rush away.",Name-Based Confirmation (WIS): Reconfirm the location using only your name (if gender-neutral) instead of correcting the honorific.,"The Quick Correction (CHA): Hand the money over and state clearly: ""And for future reference, it's [correct honorific].""","The ""Tip for Respect"" (CHA): Over-tip the driver significantly, hoping to ""buy"" respect.",Rank 4 (Tip for Respect)
,12,The Host's Last Error: The kind host bids you farewell but misgenders you one final time—a sour note to end an emotionally draining evening.,Keep coming out/embarrassing,"Emotional Surrender (WIS): Let the mistake slide, prioritizing your immediate departure.","The Ghosting Exit (DEX): Skip the formal goodbye, waving vaguely from the path.","The Digital Reminder (INT): Wait until outside, then send a quick, gentle correction via text.","The Affectionate Correction (CHA): Give a final hug and whisper: ""Love you, but it's [pronoun]!""",Rank 3 (Digital Reminder)